follower_id,followee_id
0,2724
0,5491
0,7224
0,8150
1,1292
1,2482
1,3420
1,4672
2,7228
2,9900
3,3770
4,8236
5,1358
6,8975
7,1110
7,1299
8,3383
8,5041
9,8098
9,8245
9,8917
10,968
10,1200
10,1840
11,7990
11,9339
12,7983
13,2647
13,3918
13,5304
14,1810
14,2215
14,5256
14,6402
15,3415
15,3594
15,3703
15,8365
15,9790
17,314
17,4577
17,6919
17,6980
17,7694
18,3481
18,5483
19,6362
19,6846
20,568
20,3565
20,6737
21,1942
21,3548
21,6115
22,3506
23,2788
23,6261
24,3236
24,9803
25,6023
26,991
26,5761
26,9535
28,7723
28,8893
29,487
29,7168
29,7409
30,2472
30,8452
31,2779
31,8892
33,1566
33,3776
33,8600
34,6316
34,9275
35,2729
35,9367
36,5457
36,6315
36,6775
36,8592
37,287
37,6370
37,8600
38,7507
38,7948
39,4195
39,5936
39,6059
39,7089
40,2990
40,3687
41,723
41,6695
41,7619
42,5031
44,2591
44,4220
44,9835
45,1914
45,5399
45,5967
45,6914
46,9772
48,3370
49,326
49,2493
49,3449
49,5196
49,8810
50,3072
51,1330
51,6603
51,7722
52,2530
52,4381
53,1660
53,2963
53,4861
53,8527
53,8825
54,4541
54,4915
54,7328
55,1390
56,1803
56,5344
57,3189
57,8612
58,5574
60,2086
60,3331
60,3822
60,5662
60,6170
60,6892
61,1437
61,1538
61,3201
61,5787
61,6003
62,5685
63,373
63,5136
63,5337
63,9811
64,6384
65,1761
65,7884
65,8658
66,1889
66,3710
66,7130
66,8440
67,1262
67,3599
67,7399
68,327
69,87
69,2496
69,3827
69,9895
70,1681
71,1124
71,4005
72,309
72,1689
72,3739
73,2616
73,5754
73,5974
73,7556
74,110
75,152
75,4708
75,5546
76,3589
76,6419
77,6236
77,6643
79,7373
80,990
80,3576
80,6573
80,7971
81,2312
81,9766
82,2646
82,2901
83,4984
83,7511
85,2246
86,655
86,2796
86,7980
88,4643
88,7940
88,9033
90,9013
92,6677
92,7657
93,555
93,3439
94,974
94,4139
94,7245
94,8475
94,9732
96,7874
96,8621
96,8957
97,5557
99,1468
99,6058
100,3887
102,3776
102,6523
102,6775
105,8000
106,224
106,1400
107,1973
107,7423
108,3615
108,5186
108,7691
108,8209
109,3504
109,3567
111,5256
111,9941
112,38
112,4231
113,1920
113,2504
113,5544
114,6846
114,9906
115,6889
116,4078
116,8995
118,365
118,2410
118,5174
120,284
120,6281
120,8184
121,7497
121,7637
122,3563
123,1512
123,2922
123,5119
123,6330
123,6332
124,2824
124,5018
124,5027
