follower_id,followee_id
0,2724
0,5491
0,8150
1,1292
1,2482
1,3420
2,7228
3,3770
4,8236
5,1358
7,1110
7,1299
9,8098
9,8245
10,968
10,1840
13,2647
13,5304
14,2215
14,5256
15,3415
15,3703
17,6980
17,7694
18,5483
19,6362
20,568
20,3565
20,6737
21,3548
21,6115
23,2788
23,6261
24,3236
26,5761
26,9535
28,7723
29,7168
30,8452
31,2779
31,8892
33,8600
34,6316
35,2729
36,5457
36,8592
37,287
37,6370
37,8600
38,7507
39,4195
39,5936
39,7089
40,2990
40,3687
41,723
41,6695
45,5967
48,3370
49,326
49,2493
49,5196
49,8810
51,1330
51,6603
51,7722
52,2530
52,4381
53,1660
53,2963
53,4861
53,8527
54,4915
55,1390
56,1803
57,3189
58,5574
60,2086
60,3331
60,5662
60,6892
61,1437
61,3201
62,5685
63,5136
63,5337
63,9811
65,8658
66,8440
67,3599
67,7399
69,87
69,2496
69,3827
69,9895
70,1681
71,1124
71,4005
72,1689
72,3739
73,2616
75,152
75,4708
75,5546
76,3589
77,6236
80,990
80,3576
80,6573
81,2312
82,2901
83,7511
85,2246
86,7980
88,4643
88,7940
88,9033
90,9013
92,6677
92,7657
93,3439
94,4139
94,7245
94,8475
96,7874
96,8621
99,6058
100,3887
102,3776
105,8000
106,1400
107,1973
107,7423
108,3615
108,7691
108,8209
109,3567
111,5256
111,9941
112,38
113,1920
113,2504
113,5544
114,6846
115,6889
116,8995
118,365
118,2410
118,5174
120,284
120,6281
120,8184
123,1512
123,5119
123,6332
124,2824
124,5027
129,5316
132,4593
132,6018
135,3029
136,19
138,4071
138,7400
139,4091
139,6764
140,1029
140,4519
142,9892
143,112
143,2532
144,2307
145,1972
146,4525
147,3622
147,4944
148,2134
148,6419
148,8980
149,1672
149,5795
150,7852
151,8324
152,602
152,8329
154,2282
154,6992
155,7425
156,4062
157,7913
157,9210
158,5040
158,5929
159,7720
160,1351
161,697
161,5127
162,9030
163,517
163,3668
165,3496
167,7266
167,7330
170,2696
170,3324
171,6231
173,3608
173,4021
173,8771
174,2307
174,4600
175,2362
175,4317
176,3607
178,516
178,1798
180,4650
180,6334
180,6576
181,2736
182,6306
182,7373
184,2394
185,9437
186,7440
186,9656
187,6984
189,2296
189,2896
189,3363
189,6296
191,653
193,78
193,5318
194,1831
198,7512
198,9933
199,7201
199,9985
200,6231
201,4765
205,3647
206,4001
206,6825
207,616
208,5454
208,7225
209,1236
211,3347
212,2318
212,4205
213,4191
213,4626
214,4190
214,8469
218,9817
219,7497
220,7395
221,4604
221,7813
