follower_id,followee_id
7967,9967
806,8126
5887,738
9455,1534
7245,9982
3477,8374
9948,9014
6472,7026
3478,4812
6339,7436
4467,6080
3825,2641
2923,4001
7646,877
7893,7170
4784,5198
7451,4573
6344,4747
4089,3653
5052,5952
5652,7637
857,2779
5404,4125
7789,4568
7795,7766
9032,8382
541,3482
4400,5208
2156,7656
346,3014
6297,1898
3499,3006
2243,6120
655,3769
3027,3950
1306,8425
2402,1646
1285,1132
6135,35
4449,1313
3824,7677
2274,2400
1126,321
3423,917
2454,1055
4783,3818
6899,8540
4387,3818
85,8692
2853,8873
4413,8422
399,3375
5099,5717
4127,5584
7776,5780
3748,8971
4684,7195
8770,7392
5861,7006
3603,6338
8321,9286
4312,4583
912,8097
2280,1814
3871,7092
8360,2798
5328,3510
6326,2612
4331,8770
9838,9892
4604,1200
5882,1817
1004,1620
6286,6596
4011,3315
5604,6010
4009,3242
6779,3496
5204,2104
5194,1416
2988,7354
591,2390
9046,5381
863,634
3486,4598
862,7579
4847,554
466,1163
1421,2847
2293,5028
4134,4819
5876,4604
387,7471
7543,8968
7825,1484
5558,9398
2012,5917
4466,4999
6835,745
3560,8869
3436,7113
504,5777
1560,8267
42,993
8851,8646
5448,7725
6979,874
5205,2305
5043,3475
2529,5096
3171,8535
2023,6456
658,6594
7313,9795
2304,5917
649,2344
4146,8562
2622,4506
5545,1592
6095,5442
4357,6530
9018,2528
8180,2183
1992,7493
5166,8362
5906,5920
276,5896
4383,4718
2131,3895
5470,8773
7058,4708
7674,6926
5957,2475
604,5203
5833,719
6705,7064
7455,5310
1600,2724
1880,9911
3378,8582
3774,2166
2215,5471
7290,6936
7414,2276
1691,6225
5891,1074
887,8120
2377,7684
7255,1465
4307,6012
8818,5449
1600,3074
3465,8177
3518,4805
335,6102
2795,1966
8144,8164
7836,3847
3204,7089
9983,7882
9543,1194
2306,5939
1206,2396
8926,5921
8552,9652
6436,4930
5498,6633
7783,4186
4876,4600
6861,9805
7360,4268
1365,3557
6329,9944
7461,5074
9508,4741
1354,9814
2293,6801
7482,9334
1407,2278
2002,3619
2623,2017
2041,9963
5866,5689
4930,7465
9001,6630
9446,7246
4049,3286
9842,830
2718,9424
8687,2498
9220,5213
6412,5633
2960,2541
4950,5838
337,1960
1269,9110
8616,7169
4483,710
6659,8893
3827,5509
305,3176
6649,1789
9267,7661
1079,318
8300,1456
1951,247
865,7714
5412,6808
1838,8449
9980,6779
4192,3163
8899,5922
4090,9302
3157,4933
9263,722
4101,12
2967,8973
7552,3633
3906,3708
2722,1972
6889,8015
8224,9166
3131,679
9941,785
6823,9647
2123,7305
4173,4991
604,6976
8968,3433
4389,5555
9096,1898
5476,7358
3112,5540
5106,8579
9003,5871
364,349
816,1382
1738,7844
7557,6609
1237,9548
7629,1759
9179,620
2267,6653
6532,6815
620,1443
8149,482
2514,114
4317,4339
2474,715
8547,7698
2165,9759
