follower_id,followee_id
9588,7540
3174,1018
2298,7763
9937,5442
1584,2758
9004,7489
3698,3647
4234,4381
9332,6796
560,8070
6066,6338
278,2722
8891,9305
1647,9873
1401,6434
8860,1324
3703,958
4467,6080
4076,8
9518,6397
5313,4788
2763,336
7298,3577
1262,7029
8103,2284
2046,7111
5114,6830
1790,2984
7980,3382
9327,6802
8456,9727
6704,6221
140,3138
9653,4528
8099,1761
43,3205
1407,5848
1560,6844
8786,8326
2864,8682
3182,7271
7728,3511
6513,6626
2838,1045
992,910
3058,3263
539,376
6949,9408
473,6172
9088,6412
1027,3348
2362,4499
9986,1146
42,9369
5567,517
1126,321
3791,6039
1086,3174
3137,4495
3978,5111
2023,8416
2331,6317
578,2209
777,5802
8838,2450
3115,6399
7028,4224
2762,8755
8837,5231
3044,1271
7110,92
9453,1033
5258,112
5624,7817
4289,250
7202,3064
8669,170
5623,8346
6177,5522
5208,5660
5930,2612
9598,4016
7069,441
7361,4225
811,4258
3588,2273
384,4945
415,4258
1512,9001
5332,4383
2813,5660
3933,4937
8434,3686
1040,9945
6634,3896
6331,6339
5882,1817
475,8446
5788,8571
5666,472
1846,5090
6013,4717
2240,2765
1374,6034
3974,4187
2047,2370
3552,9382
6245,3562
8839,8286
2796,3397
6216,7705
1323,2312
2575,1708
6250,873
840,9483
1580,7041
5224,6893
5181,9475
4340,2443
2473,7847
2569,1893
2763,5142
4246,9197
6211,4328
9595,8979
1298,7328
1052,3889
2724,8597
7636,8378
8205,4334
8847,1357
1192,3145
4748,7314
5617,2808
7503,2372
1627,3073
7672,7254
2751,9639
1182,1676
2966,5097
9345,8400
1183,2278
9651,6228
6786,6114
905,6471
7104,4703
9052,5145
3417,8941
6967,1988
8801,7778
5875,3224
7050,710
7273,3199
1366,4587
7868,376
8616,9129
5254,4045
7859,2542
8788,3005
5460,8085
2351,1949
5962,9235
5398,791
9782,4617
14,1954
9074,2810
3116,1257
8602,3754
2215,5471
1886,6693
6203,2881
6141,2003
1070,1411
1784,0
3706,1473
6352,2223
7818,2891
8294,2820
2866,3711
5429,2706
6102,5458
6542,5730
8135,2009
4758,57
98,6913
8778,8302
9495,4910
7840,1337
92,2934
5291,6155
1399,9207
5692,83
3856,4800
7211,3795
6722,7768
6851,3452
6994,6012
8439,5803
9014,1604
216,8073
4724,7239
185,6508
4918,4072
1647,9686
809,9341
9460,9238
7461,1691
3877,2644
7211,7178
9675,532
2514,5107
2297,908
8297,1963
7901,1963
8367,1204
1395,2268
273,5574
6457,2774
4370,5960
9798,9233
9850,5259
9005,737
2038,2145
1981,5775
8636,4812
9845,1882
5586,9082
5498,6983
7112,4139
288,5855
8168,213
9625,9463
8071,6696
3028,3234
7637,9622
2090,9101
7138,6491
6200,8194
4925,4088
715,2135
2275,1684
162,3649
4386,3810
8656,6568
8708,342
7226,5557
3542,8558
9309,7133
1142,667
2673,2484
8996,6636
8120,9217
6993,8015
8371,6584
8961,9833
7991,701
5875,4647
6657,2404
7273,4622
8300,1456
3981,9359
4972,6536
7842,578
956,7832
6495,1322
930,6611
3602,6330
1916,3444
5720,4709
4756,5191
3280,3835
5936,9437
9324,5162
1366,9393
9883,430
3260,5812
574,7915
5271,9986
178,1499
7301,6266
2065,3917
2722,1972
1287,617
9069,856
2369,4328
8669,3366
195,1853
661,7510
2815,1382
3434,8035
2343,2326
7374,3519
7184,1143
3923,1029
9587,2889
1374,5847
8215,5266
2614,4482
902,6791
4477,8004
8465,5414
2328,1644
7739,8720
7154,1651
7702,9592
264,2747
4221,7260
2160,2999
7421,2934
1258,4359
3759,8892
9205,6355
426,7212
2668,931
2883,9221
5672,3863
238,745
7329,6728
7391,1190
3960,9555
5985,5491
9656,750
2736,2004
5949,9217
8072,7940
4242,5454
7566,9300
6659,3900
680,3722
6525,1456
4422,4109
967,7162
5439,6671
7397,1385
1120,8158
9888,5230
6464,3432
8771,8880
5039,9181
8652,7468
9622,3768
3053,341
7874,4168
6305,2621
6341,2278
8405,4735
7361,5111
7956,8704
8730,5846
834,4539
8237,5913
8268,1062
2418,2984
6965,8494
7173,2027
2686,1486
5172,4987
8506,9521
8408,6734
5209,1082
8388,8711
3808,1563
7321,8314
1375,1106
4742,2370
1034,7983
2410,4971
9182,9511
5491,3397
1522,4539
5947,4202
4302,5481
718,2270
1934,8425
9491,3850
5922,5835
6295,9049
5235,9069
2021,4637
9655,1972
7382,6688
1861,972
7717,8664
4037,2739
4226,5644
380,9041
6148,4865
8742,9589
5354,3284
3174,4027
4139,6399
8952,539
9834,7572
5252,9423
9235,6489
8521,1484
5995,7252
7836,627
6052,1370
6256,5307
7369,8331
769,5591
1550,3150
1548,9493
1672,4833
4062,1456
113,3974
8332,8378
4277,3330
5035,8607
4283,112
4217,1744
5743,7381
222,1665
8852,2937
9318,8594
3005,2878
505,3451
6647,5313
4713,9495
5181,4645
2781,3170
8037,6925
5862,8012
131,4930
8099,1387
2679,2893
8904,94
5822,4449
870,5269
2489,2769
1244,7173
5100,2212
5043,1678
3797,3228
6412,8829
4044,9521
1613,6481
3910,7077
9853,1182
6043,72
3858,471
1301,4674
8357,1803
4843,4249
648,7492
9729,9225
3669,949
3839,5332
666,7317
790,2657
6335,9521
8202,4117
896,3807
3691,8063
1071,2118
3347,1837
630,4627
907,963
3962,6836
6362,8311
8418,5812
5481,4132
5665,6693
8352,7444
687,2128
6547,894
7507,2922
2844,435
9783,2641
9807,7953
9838,3102
4394,3460
5569,9614
7942,2850
2271,573
3138,158
9490,5802
8628,145
7941,9795
816,7611
9459,6489
9245,5217
3390,379
8751,2430
2020,173
7312,5837
8680,3718
1118,1533
4724,8475
283,4115
1558,1805
4385,4845
6871,6094
8641,7173
8338,3200
7025,3528
