follower_id,followee_id
0,66
0,75
0,81
0,192
0,205
0,243
0,353
0,362
0,460
1,46
1,87
1,143
1,189
1,340
1,365
1,410
1,423
1,445
2,102
2,147
2,172
2,216
2,279
2,316
2,395
2,404
2,405
2,422
2,465
2,481
3,106
3,111
3,245
3,252
3,285
3,421
3,495
4,0
4,150
4,183
4,411
4,460
5,40
5,181
5,224
5,442
5,453
5,466
6,54
6,57
6,456
6,463
6,476
6,477
7,24
7,52
7,126
7,191
7,296
7,319
7,336
7,398
7,405
8,73
8,84
8,141
8,238
8,310
8,313
8,358
8,413
8,422
9,92
9,206
9,211
9,331
10,31
10,86
10,134
10,154
10,164
10,212
10,363
10,387
10,401
10,405
10,412
10,491
11,91
11,152
11,212
11,283
11,375
11,396
11,454
11,457
11,462
11,465
12,9
12,166
12,390
12,397
12,403
12,478
12,484
12,496
13,9
13,53
13,77
13,133
13,141
13,154
13,215
13,219
13,262
13,304
13,363
13,480
14,10
14,59
14,156
14,224
14,282
14,288
14,339
14,436
14,446
14,460
15,69
15,74
15,161
15,332
15,447
16,39
16,142
16,150
16,165
16,166
16,221
16,320
16,491
17,18
17,157
17,297
17,301
17,305
17,370
17,371
17,397
17,440
17,442
17,483
18,14
18,30
18,41
18,68
18,152
18,236
18,283
18,313
18,328
18,336
18,360
18,369
18,395
18,432
19,32
19,34
19,82
19,246
19,445
19,475
20,30
20,133
20,230
20,238
20,269
20,280
20,368
20,398
20,422
20,436
20,442
21,14
21,41
21,117
21,138
21,191
21,206
21,208
21,236
21,243
21,457
21,466
22,199
22,204
22,228
22,238
22,292
22,342
23,5
23,39
23,70
23,161
23,296
23,298
24,81
24,92
24,229
24,385
24,392
24,457
24,466
24,482
24,486
25,45
25,46
25,155
25,185
25,324
25,351
25,437
26,128
26,147
26,197
26,206
26,221
26,254
26,309
26,420
26,471
26,496
27,20
27,30
27,85
27,97
27,102
27,103
27,229
27,306
27,335
27,486
28,55
28,132
28,207
28,246
28,250
28,367
28,373
28,413
29,8
29,68
29,85
29,121
29,137
29,154
29,172
29,262
29,270
29,345
29,372
29,380
29,489
30,18
30,109
30,229
30,279
30,353
30,427
30,439
30,465
31,7
31,55
31,179
31,215
31,257
31,376
31,465
31,468
32,80
32,197
32,227
32,239
32,301
32,334
32,417
32,456
33,207
33,230
33,259
33,264
33,375
34,3
34,104
34,273
34,380
34,404
34,437
34,496
35,0
35,58
35,59
35,82
35,99
35,208
35,357
35,366
35,430
35,432
35,487
36,8
36,11
36,152
36,275
37,29
37,40
37,76
37,154
37,170
37,212
37,243
37,454
37,462
37,476
38,30
38,236
38,241
38,247
38,279
38,298
38,353
38,378
38,423
38,462
38,471
39,116
39,157
39,202
39,255
39,281
40,77
40,116
40,245
40,270
40,349
40,422
41,0
41,77
41,136
41,196
41,221
41,298
41,334
41,376
41,378
41,409
41,417
41,465
41,492
42,59
42,96
42,186
42,452
43,53
43,163
43,212
43,344
43,349
43,367
43,422
43,425
43,443
44,250
44,268
45,100
45,142
45,193
45,215
45,234
45,249
45,326
45,341
45,394
46,179
46,189
46,203
46,287
46,364
46,416
46,460
47,92
47,96
47,114
47,184
47,221
47,240
47,272
47,275
47,333
47,427
48,25
