follower_id,followee_id
0,192
0,2724
0,5491
0,7224
0,8150
1,1292
1,2482
1,3128
1,3420
1,4055
1,4672
2,349
2,7228
2,9165
2,9900
3,3770
4,4460
4,8236
5,1358
5,3671
5,4702
6,1258
6,2369
6,3000
6,8975
6,9040
7,1110
7,1299
7,4341
7,6711
7,7465
8,3383
8,3631
8,5041
9,8098
9,8245
9,8917
9,9960
10,968
10,1200
10,1325
10,1840
11,5575
11,7990
11,9339
12,1081
12,3182
12,5382
12,7983
13,1838
13,2647
13,2930
13,3315
13,3918
13,5304
13,7270
14,1810
14,1826
14,2215
14,5256
14,6402
14,9345
15,3415
15,3594
15,3703
15,5450
15,8365
15,9790
16,8516
16,9115
17,314
17,3682
17,4577
17,6704
17,6919
17,6980
17,7694
18,2135
18,3481
18,5483
18,7583
19,626
19,6362
19,6846
20,568
20,3565
20,4652
20,6737
20,6901
21,1942
21,3548
21,6115
22,3506
22,3936
22,5710
23,2187
23,2788
23,6261
23,6335
24,311
24,757
24,2758
24,3236
24,8527
24,9803
25,5200
25,6023
26,991
26,5761
26,7086
26,9535
27,334
27,7995
28,4335
28,7723
28,8893
29,487
29,2372
29,7168
29,7409
30,2472
30,5009
30,6006
30,6062
30,8452
31,2779
31,8892
32,1610
32,1765
32,2595
32,4230
33,1566
33,1602
33,2927
33,3776
33,8600
34,1875
34,6316
34,9275
34,9774
34,9984
35,2729
35,4396
35,9367
35,9434
36,4445
36,5457
36,6315
36,6775
36,8592
37,56
37,287
37,6370
37,8600
38,2631
38,2790
38,2834
38,4256
38,7507
38,7948
38,7954
39,2469
39,3056
39,4195
39,5936
39,6059
39,6544
39,7089
40,2990
40,3687
40,7527
41,723
41,5319
41,6695
41,7619
42,532
42,899
42,3855
42,5031
42,5994
42,7761
43,1340
43,1596
43,3149
43,3557
44,123
44,2591
44,2865
44,4220
44,4377
44,5083
44,9835
45,1914
45,5399
45,5967
45,6914
46,6580
46,9772
47,971
47,2368
47,8558
48,1043
48,3370
48,4287
49,326
49,2434
49,2493
49,3014
49,3449
49,5196
49,8810
50,3072
50,5429
50,6402
51,1330
51,3674
51,4810
51,6603
51,6703
51,7722
51,9807
52,1749
52,2530
52,4381
52,6119
52,8032
53,1107
53,1660
53,2963
53,4493
53,4861
53,8527
53,8825
53,9065
54,3832
54,4541
54,4915
54,7328
55,1390
56,1803
56,2382
56,5344
57,2049
57,3189
57,5726
57,8254
57,8612
58,2397
58,5574
58,7255
59,2141
60,29
60,2086
60,3331
60,3822
60,5530
60,5662
60,6170
60,6892
61,669
61,1437
61,1528
61,1538
61,3201
61,4942
61,5787
61,6003
62,2889
62,5685
63,373
63,1195
63,1644
63,5136
63,5337
63,5414
63,7944
63,8176
63,9811
64,3186
64,5785
64,6384
65,1061
65,1761
65,2447
65,7884
65,8658
66,1889
66,2021
66,3311
66,3710
66,4329
66,6611
66,6743
66,7130
66,8440
67,1262
67,1575
67,2278
67,3380
67,3599
67,7399
68,327
68,2093
69,87
69,2496
69,3827
69,5658
69,9895
70,1681
70,6229
70,9878
71,1124
71,4005
71,6468
71,7816
71,9634
72,309
72,1689
72,3739
72,3898
72,5927
72,8607
72,9683
73,2481
73,2616
73,5754
73,5974
73,7556
73,9400
74,110
74,2349
74,7698
75,152
75,4708
75,5546
75,7543
76,3589
76,6419
76,7808
77,972
77,1660
77,6123
77,6236
77,6643
78,4367
79,3809
79,5282
79,5896
79,7373
79,8612
80,297
80,990
80,3576
80,4785
80,6573
80,7185
80,7971
81,511
81,949
81,2312
81,5042
81,9766
82,1703
82,2646
82,2901
83,4984
83,6939
83,7511
83,7686
83,8522
84,2063
84,6827
85,2246
85,3769
86,655
86,2345
86,2362
86,2796
86,7809
86,7980
87,4156
88,4313
88,4643
88,7940
88,8061
88,8517
88,9033
89,3999
89,9256
90,8253
90,8284
90,9013
91,3765
92,6677
92,7657
93,555
93,2101
93,3439
93,4429
93,9101
94,974
94,2200
94,4139
94,5203
94,7245
94,8475
94,9732
