follower_id,followee_id
9,12
1,5
1,4
1,14
1,9
1,3
1,8
7,14
7,12
7,4
7,9
7,0
7,3
18,16
18,9
18,14
18,10
18,2
18,6
15,10
15,3
15,14
15,17
15,16
15,1
14,0
14,9
14,12
14,1
14,16
14,4
13,3
13,6
13,10
13,16
13,1
13,9
4,9
4,16
4,3
4,17
4,15
4,10
3,6
3,14
3,16
3,9
3,11
3,15
10,3
10,9
10,0
10,15
10,16
10,17
12,3
12,13
12,14
12,16
12,1
12,4
11,16
11,3
11,2
11,6
11,9
11,5
2,9
2,3
2,14
2,13
2,0
2,17
6,3
6,16
6,4
6,17
6,14
6,0
9,16
9,4
9,0
9,17
9,19
9,8
19,0
19,9
19,2
19,15
19,6
19,10
0,17
0,6
0,16
0,3
0,9
0,8
17,18
17,16
17,15
17,6
17,14
17,9
16,4
16,9
16,3
16,15
16,12
16,19
5,16
5,14
5,15
5,0
5,11
5,10
8,13
8,0
8,6
8,19
8,9
8,15
4,19
10,19
13,0
14,3
16,11
